AALA	BasalEudicots	Eudicots
AAXJ	CoreEudicots Caryophyllales	Caryophyllales
ABCD	Mosses	Mosses
ABEH	CoreEudicots/Asterids	Asterids
ABIJ	Lycophytes	Lycophytes
ABSS	Magnoliids	Magnoliids
ACFP	CoreEudicots/Rosids	Rosids
ACRY	Chlorophyceae	Chlorophyta
ACWS	Pinales	Gymnosperms
ADHK	CoreEudicots/Asterids	Asterids
AEKF	Zygnemophyceae	Streptophyte Algae
AEPI	CoreEudicots/Rosids	Rosids
AFLV	Monocots	Monocots
AFPO	LeptosporangiateMonilophytes	Monilophytes
AFQQ	CoreEudicots/Asterids	Asterids
AHRN	CoreEudicots/Asterids	Asterids
AIGO	Pinales	Gymnosperms
AIOU	CoreEudicots/Asterids	Asterids
AJAU	Ulvophyceae	Chlorophyta
AJFN	CoreEudicots/Asterids	Asterids
AJJE	CoreEudicots/Rosids	Rosids
AJUW	Chlorophyceae	Chlorophyta
AKCR	Trebouxiophyceae	Chlorophyta
AKXB	Hornworts	Hornworts
ALUC	CoreEudicots/Asterids	Asterids
ALVQ	EusporangiateMonilophytes	Monilophytes
ALZF	Ulvophyceae	Chlorophyta
ANON	Hornworts	Hornworts
AOUJ	Chlorophyceae	Chlorophyta
APTP	Chromista	Chromista
AQFM	Pinales	Gymnosperms
AQGE	CoreEudicots/Rosids	Rosids
AQZD	CoreEudicots/Asterids	Asterids
AREG	Pinales	Gymnosperms
ARYD	CoreEudicots/Rosids	Rosids
ASMV	CoreEudicots/Asterids	Asterids
ASZK	Chromista	Chromista
ATFX	CoreEudicots/Rosids	Rosids
ATYL	CoreEudicots/Asterids	Asterids
AUDE	Pinales	Gymnosperms
AUGV	BasalEudicots Ranunculales	Eudicots
AUIP	CoreEudicots/Asterids	Asterids
AVJK	CoreEudicots/Asterids	Asterids
AWJM	CoreEudicots/Rosids	Rosids
AWOI	Mosses	Mosses
AWQB	Pinales	Gymnosperms
AXAF	CoreEudicots/Rosids	Rosids
AXBO	CoreEudicots/Asterids	Asterids
AXNH	CoreEudicots/Rosids	Rosids
AXPJ	CoreEudicots/Rosids	Rosids
AYIY	CoreEudicots/Asterids	Asterids
AYMT	CoreEudicots/Rosids	Rosids
AYPS	Chlorophyta	Chlorophyta
AZBL	CoreEudicots Caryophyllales	Caryophyllales
AZZW	Chlorokybales	Streptophyte Algae
Ambtr_v1.0.27	BasalAngiosperms	Basal Angiosperms
Aquco_v1.1	BasalEudicots	Eudicots
Arath_TAIR10	CoreEudicots/Rosids	Rosids
BAHE	CoreEudicots/Asterids	Asterids
BAJW	ChromistaHaptophyceae	Chromista
BAKF	Chromista	Chromista
BAZF	Chlorophyceae	Chlorophyta
BBBA	CoreEudicots/Rosids	Rosids
BBDD	Pinales	Gymnosperms
BCAA	CoreEudicots/Rosids	Rosids
BCGB	Magnoliids	Magnoliids
BCYF	Chlorophyceae	Chlorophyta
BDJQ	Monocots	Monocots
BEFC	CoreEudicots/Asterids	Asterids
