
AALA	Meliosma cuneifolia
AAXJ	Atriplex prostrata
ABCD	Racomitrium elongatum
ABEH	Heliotropium greggii
ABIJ	Selaginella cf. pallescens
ABSS	Sassafras albidum
ACFP	Boehmeria nivea
ACRY	Pteromonas sp.
ACWS	Araucaria sp.
ADHK	Galax urceolata
AEKF	Penium margaritaceum
AEPI	Linum leonii
AFLV	Xerophyllum asphodeloides
AFPO	Athyrium sp.
AFQQ	Inula helenium
AHRN	Cuscuta pentagona
AIGO	Chamaecyparis lawsoniana
AIOU	Brugmansia sanguinea
AJAU	Helicodictyon planctonicum
AJFN	Myodocarpus sp.
AJJE	Terminalia neotaliala
AJUW	Chloromonas rosae
AKCR	Parachlorella kessleri
AKXB	Phaeomegaceros coriaceus
ALUC	Ipomoea quamoclit
ALVQ	Tmesipteris parva
ALZF	Halochlorococcum marinum
ANON	Leiosporoceros dussii
AOUJ	Chlamydomonas sp.
APTP	Ishige okamurae
AQFM	Pseudolarix amabilis
AQGE	Humulus lupulus
AQZD	Flaveria pringlei
AREG	Nothotsuga longibracteata
ARYD	Oenothera laciniata
ASMV	Ilex vomitoria
ASZK	Punctaria latifolia
ATFX	Muntingia calabura
ATYL	Scutellaria montana
AUDE	Widdringtonia cedarbergensis
AUGV	Capnoides sempervirens
AUIP	Phelline lucida
AVJK	Cavendishia cuatrecasasii
AWJM	Edgeworthia papyrifera
AWOI	Diphyscium foliosum
AWQB	Picea engelmannii
AXAF	Thladiantha villosula
AXBO	Sinojackia xylocarpa
AXNH	Oenothera filiformis
AXPJ	Linum flavum
AYIY	Ruellia brittoniana
AYMT	Eucalyptus leucoxylon
AYPS	Chlorophyta incertae sedis
AZBL	Petiveria alliacea
AZZW	Chlorokybus atmophyticus
'Ambtr_v1.0.27'	Amborella_trichopoda
'Aquco_v1.1'	Aquilegia coerulea
Arath_TAIR10	Arabidopsis_thaliana
BAHE	Solenostemon scutellarioides
BAJW	Isochrysis sp.
BAKF	Cryptomonas curvata
BAZF	Chaetopeltis orbicularis
BBBA	Tetrastigma obtectum
BBDD	Microstrobos fitzgeraldii
BCAA	Kirkia wilmsii
BCGB	Cinnamomum camphora
BCYF	Chlamydomonas cribrum
BDJQ	Zingiber officinale
BEFC	Manilkara zapota
BEGM	Botrypus virginianus
BEKN	Papaver rhoeas
BERS	Zaleya pentandra
BFIK	Entransia fimbriata
BFJL	Cornus florida
BGXB	Plagiomnium insigne
BGZG	Cissus quadrangularis
BHBK	Cosmarium tinctum
BHYC	Linum lewisii
BIDT	Flaveria cronquistii
BILC	Prototheca wickerhamii
BJKT	Delosperma echinatum
BJSW	Cannabis sativa
BKQU	Phytolacca americana
BLAJ	Hemerocallis spp.
BLVL	Sorbus koehneana
BMIF	Asplenium cf. x lucrosum
BMJR	Adiantum raddianum
BMSE	Senecio rowleyanus
BNCU	Radula lindenbergiana
BNDE	Hypericum perforatum
BNTL	Souroubea exauriculata
BOGT	Mallomonas sp.
BOLZ	Atropa belladonna
BPKH	Neurachne annularis
BPSG	Scouleria aquatica
BRUD	Typha latifolia
BSEY	Daenikera sp.
BSNI	Anthoceros agrestis
BSTR	Chondropetalum tectorum
BSVG	Gyrocarpus americanus
BTFM	Monomastix opisthostigma
BTTS	Austrotaxus spicata
BUWV	Platycladus orientalis
BVOF	Linum perenne
BWRK	Alternanthera sessilis
BWVJ	Betaphycus philippinensis
BXAY	Neurachne minor
